"Species","upper_and_lower","Percent_Change_Smooth","CI_Smoothed","Percent_Change_Log","CI_Log","start","end"
"Ruby-throated Hummingbird","2.5%",288.857273935531,202.938516073301,195.29931338489,167.489202706403,1980,2024
"Ruby-throated Hummingbird","97.5%",288.857273935531,410.052246567322,195.29931338489,226.770922486425,1980,2024
"Red-tailed Hawk","2.5%",131.84277019875,96.8227371638104,90.119501999282,79.1704752184968,1980,2024
"Red-tailed Hawk","97.5%",131.84277019875,168.634282517142,90.119501999282,102.198863873632,1980,2024
"Downy Woodpecker","2.5%",34.1195662602734,19.8774072759129,30.9318489099053,20.617461591279,1980,2024
"Downy Woodpecker","97.5%",34.1195662602734,48.9031796307518,30.9318489099053,41.335759479737,1980,2024
"Blue Jay","2.5%",-38.9650074659911,-45.3490226039674,-50.4405779283094,-53.3128843817998,1980,2024
"Blue Jay","97.5%",-38.9650074659911,-32.5752810402686,-50.4405779283094,-47.4752551839676,1980,2024
"American Robin","2.5%",15.119136610049,2.03843660240337,3.13121947720134,-2.88986686900009,1980,2024
"American Robin","97.5%",15.119136610049,32.996594935664,3.13121947720134,9.37026392185305,1980,2024
"American Goldfinch","2.5%",13.5813502153006,-3.29086657315467,-6.33218968256943,-13.2952911593333,1980,2024
"American Goldfinch","97.5%",13.5813502153006,34.1224921059072,-6.33218968256943,2.68309000634708,1980,2024
"Northern Cardinal","2.5%",22.097093979333,10.1549439011245,17.0277911382562,10.6675684399574,1980,2024
"Northern Cardinal","97.5%",22.097093979333,36.463842891214,17.0277911382562,23.7556880304728,1980,2024
